SMILES,Conductivity,Stability,Viscosity,Thermal,Score
N=S1(=O)CC1,3.6121743406404994,2.5200611111111098,5.197843518518519,158.12658730158728,7.19371697291563
CCOC(=O)OC(C)F,1.813723361858912,2.5031679029304055,1.3598203703703708,222.2600769230769,6.40350999698305
CCCC#N,2.7137608581172596,2.8131666666666564,4.603233333333323,127.81944444444443,6.344798635895028
COC(=O)OCF,1.8275608741810738,2.468861111111112,1.1029020202020194,207.8152435897436,6.26428421916942
CCOC(=O)OC(C)C,1.703713847147874,2.461794580419584,2.2603333333333313,229.06,6.230075094234124
CCCCCC#N,2.013874107662089,2.7313611111111076,7.587890909090899,194.64444444444445,5.93289057230855
COCCOCCOCF,1.6549153807566344,2.4161645299145316,1.660602380952382,196.10979100529102,5.866117582628838
CCC(F)CC#N,1.8457103851631078,2.5420686507936496,0.9077412698412712,156.58666666666667,5.862871575639297
CC(CC#N)CC#N,2.119611947521357,2.4894444444444432,9.81334047619049,218.48111111111115,5.812533455457863
CCOC(=N)OCC,2.1374882859508078,2.253558333333336,6.002994444444445,194.8235185185185,5.738982360024884
CC(=O)OCF,2.0522707290786246,2.474207407407408,0.6815611111111124,124.84407407407406,5.706762766115661
COC(=N)OC,2.291016592883847,2.1682666666666672,4.213294444444441,166.0103968253968,5.698057783360038
COCCOC(C)COC,1.5756870119591049,2.263555555555554,2.368155555555549,208.6228181818182,5.6886551937772865
O=c1occ(F)o1,1.9611920152405302,2.3345616161616163,2.4887468253968246,163.08833333333334,5.677762282195797
CCOP(=N)(OCC)OCC,1.9132625599131392,2.2641651709401716,8.323708518518524,227.37871957671953,5.6188440747686546
CCOC(=O)C(F)F,1.9045056977385202,2.5091880952380956,0.5729857142857148,124.2425,5.598820221548045
Cc1coc(=O)o1,1.9632286960117085,2.321474999999999,5.201397619047614,182.685,5.591413934106946
N=S1(=O)CCCC1,1.9449102688892257,2.4933235042735054,5.071849074074072,165.55325396825396,5.586581405437863
O=C1OCCC1F,1.8378460417479698,2.4975388888888905,1.5717023809523811,140.23333333333332,5.580548025874955
Cc1ccccc1N=C=O,2.2885258102318926,2.3838925925925927,4.637851010101005,134.8788888888889,5.5574221907032735
